Found term: account, Occurrences: 1, Points: 3
Found term: win, Occurrences: 1, Points: 1
Found term: account, Occurrences: 1, Points: 3
Found term: win, Occurrences: 1, Points: 1
Found term: account, Occurrences: 1, Points: 3
Found term: free, Occurrences: 1, Points: 1
Found term: claim, Occurrences: 1, Points: 3
Found term: click here, Occurrences: 1, Points: 2
Found term: claim, Occurrences: 1, Points: 3
Found term: win, Occurrences: 1, Points: 1
Found term: account, Occurrences: 1, Points: 3
Found term: claim, Occurrences: 1, Points: 3
Found term: win, Occurrences: 1, Points: 1
Found term: free, Occurrences: 1, Points: 1
Found term: win, Occurrences: 1, Points: 1
Found term: win, Occurrences: 1, Points: 1
Found term: claim, Occurrences: 1, Points: 3
Found term: claim, Occurrences: 1, Points: 3
Total Phishing Points in C:\Users\rusty\IdeaProjects\Java2Summer2024\Assignment2\PhishingEmailExample2.txt: 37
